vehicle_id,plate,model,capacity_kg,status
1,ZKN-4419,Volvo FH16,14849,Maintenance
2,FSS-1572,Scania R500,14484,Operational
3,CUZ-9194,Volvo FH16,6686,Maintenance
4,XVW-9610,Mercedes-Benz Actros,19438,Operational
5,VPM-6613,Scania R500,19798,Maintenance
6,HCU-0604,Volvo FH16,11333,Maintenance
7,GSO-8925,Volvo FH16,5915,Operational
8,WMK-2067,Mercedes-Benz Actros,19728,Operational
9,SYZ-8136,Freightliner Cascadia,11231,Maintenance
10,EKV-2251,Volvo FH16,6424,Maintenance
11,FZG-0864,Volvo FH16,12135,Operational
12,JMF-6227,Volvo FH16,14267,Maintenance
13,NVH-6938,Volvo FH16,16109,Maintenance
14,XBU-3314,Scania R500,6380,Maintenance
15,BXW-9116,Scania R500,11143,Maintenance
16,PBX-3559,Scania R500,15064,Operational
17,ZCN-4259,Freightliner Cascadia,6301,Operational
18,MRX-2703,Mercedes-Benz Actros,13450,Maintenance
19,PNJ-2110,Scania R500,18386,Operational
20,TCE-4051,Scania R500,19361,Maintenance
21,NNI-0538,Scania R500,17731,Maintenance
22,NUJ-8487,Freightliner Cascadia,12344,Operational
23,CQK-0698,Scania R500,15155,Maintenance
24,RDD-0439,Mercedes-Benz Actros,8922,Maintenance
25,QQX-0164,Volvo FH16,16177,Operational
26,OYG-1046,Freightliner Cascadia,16158,Operational
27,IFL-1579,Scania R500,17635,Maintenance
28,TBC-3878,Freightliner Cascadia,9700,Operational
29,FZV-3845,Scania R500,7171,Maintenance
30,WOT-2055,Mercedes-Benz Actros,18194,Operational
31,OQY-3840,Scania R500,12075,Operational
32,JVZ-0843,Volvo FH16,12890,Maintenance
33,RNO-2168,Scania R500,13949,Operational
34,JBT-3639,Freightliner Cascadia,9565,Maintenance
35,INP-9578,Volvo FH16,7955,Operational
36,ITS-2983,Freightliner Cascadia,18988,Operational
37,PKK-8262,Freightliner Cascadia,10356,Maintenance
38,UHL-5188,Volvo FH16,13241,Maintenance
39,AAT-5205,Scania R500,11270,Maintenance
40,GIL-7423,Mercedes-Benz Actros,14824,Maintenance
41,MKN-0994,Freightliner Cascadia,10481,Operational
42,RBW-3933,Scania R500,15745,Maintenance
43,MET-1728,Volvo FH16,16728,Maintenance
44,EIK-5267,Mercedes-Benz Actros,13686,Operational
45,WAR-3306,Volvo FH16,11761,Operational
46,ELC-6333,Freightliner Cascadia,12343,Maintenance
47,PBZ-9757,Mercedes-Benz Actros,5242,Operational
48,ZNV-0965,Volvo FH16,7369,Maintenance
49,PTY-9988,Freightliner Cascadia,19258,Maintenance
50,DCP-0817,Volvo FH16,11421,Operational
51,JYH-8860,Volvo FH16,5848,Operational
52,ZTX-0347,Mercedes-Benz Actros,9851,Operational
53,SND-4726,Mercedes-Benz Actros,12556,Maintenance
54,FUG-8277,Volvo FH16,17117,Maintenance
55,IZA-1298,Mercedes-Benz Actros,17731,Operational
56,DLT-5702,Freightliner Cascadia,9565,Maintenance
57,USP-3714,Scania R500,12263,Operational
58,TCO-2111,Freightliner Cascadia,14981,Operational
59,UYG-5186,Volvo FH16,10409,Maintenance
60,YCX-9268,Scania R500,19721,Maintenance
61,KJL-2592,Mercedes-Benz Actros,10007,Operational
62,UXC-0644,Volvo FH16,19680,Maintenance
63,MAN-4212,Mercedes-Benz Actros,12690,Maintenance
64,FIZ-4077,Freightliner Cascadia,18664,Maintenance
65,NLQ-0973,Scania R500,10569,Operational
66,FMM-7767,Scania R500,17082,Maintenance
67,NOJ-0384,Freightliner Cascadia,9448,Maintenance
68,DPW-3022,Freightliner Cascadia,17637,Maintenance
69,MTV-0209,Scania R500,16516,Operational
70,LKR-1016,Scania R500,12551,Maintenance
71,YJL-4999,Mercedes-Benz Actros,8486,Operational
72,FXT-7950,Mercedes-Benz Actros,13413,Operational
73,WBJ-5561,Freightliner Cascadia,17749,Maintenance
74,HSR-1472,Volvo FH16,17515,Maintenance
75,NSN-5868,Freightliner Cascadia,10253,Operational
76,UOH-9019,Freightliner Cascadia,15650,Operational
77,BMU-1794,Scania R500,10816,Maintenance
78,WIN-4899,Mercedes-Benz Actros,14785,Operational
79,FZL-9787,Mercedes-Benz Actros,9228,Maintenance
80,AHB-9343,Mercedes-Benz Actros,16595,Operational
81,AAC-7139,Scania R500,15403,Maintenance
82,AOM-5583,Mercedes-Benz Actros,18616,Maintenance
83,TGJ-4414,Freightliner Cascadia,8428,Operational
84,VZU-5015,Scania R500,13140,Maintenance
85,MVV-9902,Mercedes-Benz Actros,9661,Operational
86,EJO-7702,Volvo FH16,11543,Maintenance
87,YAV-7857,Scania R500,18177,Maintenance
88,URU-0849,Volvo FH16,6442,Operational
89,KRV-8803,Mercedes-Benz Actros,13075,Maintenance
90,BVY-5124,Mercedes-Benz Actros,18639,Maintenance
91,YLM-8299,Freightliner Cascadia,15562,Operational
92,RAF-1450,Mercedes-Benz Actros,10169,Operational
93,TNH-7357,Freightliner Cascadia,9555,Maintenance
94,YCX-4215,Mercedes-Benz Actros,19459,Maintenance
95,BZE-3178,Scania R500,10825,Operational
96,EUH-8235,Freightliner Cascadia,19988,Maintenance
97,HRI-4521,Volvo FH16,11681,Maintenance
98,THH-3076,Freightliner Cascadia,9190,Maintenance
99,FVD-0409,Volvo FH16,5544,Maintenance
100,BKW-0184,Freightliner Cascadia,13505,Operational
101,MSR-4353,Mercedes-Benz Actros,15768,Maintenance
102,RJK-8571,Mercedes-Benz Actros,16013,Operational
103,JGG-4109,Mercedes-Benz Actros,18384,Maintenance
104,URJ-3858,Mercedes-Benz Actros,9286,Maintenance
105,ETN-4932,Freightliner Cascadia,10191,Operational
106,IBE-5870,Freightliner Cascadia,5374,Operational
107,FBZ-0160,Freightliner Cascadia,17696,Operational
108,NWT-2997,Volvo FH16,16600,Maintenance
109,WWD-5381,Mercedes-Benz Actros,10115,Maintenance
110,GDT-9217,Scania R500,5113,Maintenance
111,JNQ-7733,Scania R500,15824,Operational
112,YUD-5625,Scania R500,6625,Operational
113,HWE-7017,Freightliner Cascadia,5191,Operational
114,MKI-7245,Mercedes-Benz Actros,12983,Maintenance
115,UJP-8161,Volvo FH16,17793,Maintenance
116,ZLA-1487,Mercedes-Benz Actros,6366,Operational
117,KEY-3938,Volvo FH16,13245,Operational
118,BYB-1539,Mercedes-Benz Actros,11343,Maintenance
119,LQQ-9583,Mercedes-Benz Actros,17162,Operational
120,LMD-1971,Volvo FH16,9094,Maintenance
121,LTZ-5817,Volvo FH16,6963,Maintenance
122,XYU-1919,Freightliner Cascadia,5990,Operational
123,ILW-7013,Mercedes-Benz Actros,7134,Maintenance
124,ISY-0227,Freightliner Cascadia,11873,Operational
125,NRU-9973,Mercedes-Benz Actros,8174,Operational
126,TWF-4946,Mercedes-Benz Actros,15653,Maintenance
127,ZIS-9098,Freightliner Cascadia,11834,Maintenance
128,ATJ-0580,Mercedes-Benz Actros,12021,Operational
129,PBS-5140,Volvo FH16,12449,Maintenance
130,ZYB-9656,Volvo FH16,15581,Operational
131,IMJ-8327,Scania R500,16355,Maintenance
132,SQI-6562,Scania R500,11530,Maintenance
133,JUF-2010,Freightliner Cascadia,17472,Maintenance
134,PZA-6212,Mercedes-Benz Actros,6797,Maintenance
135,LDG-7969,Scania R500,17982,Maintenance
136,WOL-6876,Mercedes-Benz Actros,6073,Operational
137,FUP-6909,Scania R500,17146,Maintenance
138,KXC-8468,Freightliner Cascadia,19002,Maintenance
139,HLE-0975,Volvo FH16,10357,Maintenance
140,DHF-1284,Mercedes-Benz Actros,7941,Maintenance
141,EOV-8913,Freightliner Cascadia,6245,Operational
142,NDV-1894,Mercedes-Benz Actros,14028,Maintenance
143,GEK-8077,Mercedes-Benz Actros,19461,Maintenance
144,SKC-5654,Freightliner Cascadia,9607,Maintenance
145,DOE-9494,Scania R500,18911,Operational
146,QSZ-9290,Mercedes-Benz Actros,5006,Operational
147,FIG-9047,Freightliner Cascadia,11495,Maintenance
148,NRR-1442,Freightliner Cascadia,9996,Maintenance
149,LLV-4019,Freightliner Cascadia,10315,Operational
150,QYS-2752,Freightliner Cascadia,11222,Maintenance
